,ID,Score
523,Armin,0.9990866184234619
1981,The Munsters' Scary Little Christmas,0.9990523457527161
2108,The Princess of Temple Street,0.999049961566925
806,Magika,0.999045193195343
1647,You Me and Captain Longbridge,0.9990416169166565
856,A Walk on the Moon,0.9990339279174805
1319,Mallika,0.9990072846412659
740,Blad schizophrène,0.9989976286888123
1253,Now That I Have You,0.9989933371543884
213,The One and Only Herb McGwyer Plays Wallis Island,0.9989888072013855
1334,"Me, Mom, Dad and Her",0.998979389667511
979,In the Name of Love: A Texas Tragedy,0.9989776611328125
2193,Out of True,0.9989591836929321
506,Bright Eyes,0.998957633972168
811,The Promise of Love,0.9989448189735413
805,Age of Consent,0.9989402890205383
1352,Every Mother's Worst Fear,0.9989367127418518
1424,Peter Pan,0.9989326596260071
971,Miracle Fish,0.9989216327667236
1598,Some Girl,0.9989140033721924
1971,Get Married 3,0.9989122152328491
1621,The Call for Arms,0.9989057779312134
60,Doctors' Wives,0.9989025592803955
550,You're the One,0.9989004135131836
105,Yamanam,0.998896598815918
315,Banarasi Babu,0.9988963603973389
184,The Harder They Fall,0.9988895058631897
2132,Peekaboo,0.9988881945610046
839,October Baby,0.9988852143287659
2141,February 14,0.9988718628883362
1932,Prozac Nation,0.9988644123077393
1326,Do Badan,0.9988614320755005
1171,Jahan Ara,0.9988546371459961
1652,When Love Is Not Enough: The Lois Wilson Story,0.9988293051719666
1383,Prem Vivah,0.9988246560096741
1930,Heading South,0.9988130331039429
1655,Silence of the Heart,0.9988077878952026
786,Mimino,0.9988011121749878
792,The Slaughter Rule,0.9987847208976746
1730,Beverly Hills Chihuahua 3,0.9987825751304626
1506,Thoppul Kodi,0.9987806677818298
1180,Mahapurush,0.9987803101539612
1623,Little city,0.9987784028053284
1393,Port of Call,0.9987706542015076
1895,Ordinary Miracles,0.9987627267837524
815,Skylark,0.9987573623657227
117,On Broadway,0.9987550973892212
245,Critic's Choice,0.9987550973892212
1925,Lassie,0.9987488985061646
1324,"Sarah, Plain and Tall",0.9987465143203735
