Wikipedia movie ID,Result,Prediction
975900,Violent,1.0
6631279,Non-violent,-1.0
77856,Non-violent,-1.0
21926710,Non-violent,-1.0
156558,Violent,1.0
9548445,Non-violent,-1.0
25960460,Non-violent,-1.0
4951456,Violent,1.0
5708633,Non-violent,-1.0
12053509,Non-violent,-1.0
1369204,Violent,1.0
12371532,Non-violent,-1.0
32104837,Non-violent,-1.0
2647998,Violent,1.0
7028314,Non-violent,-1.0
5664529,Non-violent,-1.0
5894429,Non-violent,-1.0
12788657,Violent,1.0
27556929,Violent,1.0
2154704,Violent,1.0
28301986,Non-violent,-1.0
33059372,Violent,1.0
3740032,Violent,1.0
9380065,Violent,1.0
164387,Non-violent,-1.0
7767613,Non-violent,-1.0
22985953,Non-violent,-1.0
3550323,Violent,1.0
1765938,Non-violent,-1.0
7460227,Non-violent,-1.0
18902861,Non-violent,-1.0
1305819,Violent,1.0
6752142,Non-violent,-1.0
180917,Violent,1.0
6305925,Non-violent,-1.0
196176,Violent,1.0
33872851,Non-violent,-1.0
2509881,Violent,1.0
16304395,Violent,1.0
336846,Non-violent,-1.0
27463222,Non-violent,-1.0
3249964,Violent,1.0
5696825,Non-violent,-1.0
103021,Violent,1.0
1940449,Violent,1.0
30109815,Non-violent,-1.0
27365295,Non-violent,-1.0
6703617,Violent,1.0
362719,Non-violent,-1.0
17379289,Violent,1.0
10705531,Non-violent,-1.0
4459059,Violent,1.0
4069274,Non-violent,-1.0
3681139,Non-violent,-1.0
26205476,Non-violent,-1.0
5685826,Non-violent,-1.0
5549065,Violent,1.0
14739568,Violent,1.0
37067980,Violent,1.0
171058,Non-violent,-1.0
2608958,Violent,1.0
26624119,Non-violent,-1.0
2546429,Violent,1.0
25947106,Non-violent,-1.0
31686022,Non-violent,-1.0
24416479,Non-violent,-1.0
14881706,Violent,1.0
3883051,Violent,1.0
21236198,Non-violent,-1.0
9105523,Non-violent,-1.0
32400923,Non-violent,-1.0
17594419,Non-violent,-1.0
207680,Violent,1.0
7489503,Non-violent,-1.0
1858682,Non-violent,-1.0
7235116,Violent,1.0
5254729,Non-violent,-1.0
24291753,Non-violent,-1.0
14109452,Violent,1.0
12384049,Non-violent,-1.0
6004372,Non-violent,-1.0
4473622,Non-violent,-1.0
3867110,Non-violent,-1.0
11686007,Non-violent,-1.0
22557257,Violent,1.0
7731853,Non-violent,-1.0
12091274,Non-violent,-1.0
856733,Violent,1.0
8887199,Violent,1.0
76345,Violent,1.0
24021571,Non-violent,-1.0
1854612,Non-violent,-1.0
11696799,Violent,1.0
4926447,Violent,1.0
1226289,Violent,1.0
20393685,Non-violent,-1.0
3475071,Violent,1.0
2450188,Violent,1.0
44218,Violent,1.0
1135297,Violent,1.0
17024723,Non-violent,-1.0
9215946,Non-violent,-1.0
7014201,Non-violent,-1.0
7752732,Violent,1.0
21209475,Violent,1.0
3210963,Non-violent,-1.0
9086301,Non-violent,-1.0
1307956,Non-violent,-1.0
2216254,Non-violent,-1.0
28530363,Non-violent,-1.0
29499560,Violent,1.0
2524925,Violent,1.0
1964091,Non-violent,-1.0
7985961,Non-violent,-1.0
6721185,Non-violent,-1.0
3917900,Violent,1.0
1028671,Non-violent,-1.0
1378672,Violent,1.0
1641416,Non-violent,-1.0
22358819,Violent,1.0
1748912,Violent,1.0
706803,Non-violent,-1.0
1851703,Non-violent,-1.0
5363369,Non-violent,-1.0
7266768,Non-violent,-1.0
444919,Violent,1.0
3670013,Non-violent,-1.0
2298689,Non-violent,-1.0
24300269,Violent,1.0
6613755,Violent,1.0
28010827,Non-violent,-1.0
14710585,Violent,1.0
6973699,Non-violent,-1.0
7281088,Violent,1.0
23028763,Non-violent,-1.0
12632216,Non-violent,-1.0
33096336,Non-violent,-1.0
26068632,Violent,1.0
7521477,Non-violent,-1.0
24207129,Non-violent,-1.0
22365569,Non-violent,-1.0
7280802,Violent,1.0
1533733,Violent,1.0
4572965,Violent,1.0
24051028,Non-violent,-1.0
14734420,Non-violent,-1.0
17711304,Non-violent,-1.0
25075517,Violent,1.0
34319106,Non-violent,-1.0
20695060,Non-violent,-1.0
28388755,Non-violent,-1.0
5884079,Violent,1.0
1781048,Violent,1.0
399402,Non-violent,-1.0
22224559,Non-violent,-1.0
1222278,Non-violent,-1.0
13726036,Violent,1.0
23346792,Non-violent,-1.0
7844547,Non-violent,-1.0
4836072,Non-violent,-1.0
2121431,Violent,1.0
7323666,Non-violent,-1.0
21426256,Non-violent,-1.0
11361551,Violent,1.0
1132138,Non-violent,-1.0
736262,Non-violent,-1.0
24048171,Non-violent,-1.0
5240350,Violent,1.0
20138604,Non-violent,-1.0
24292756,Violent,1.0
17839776,Non-violent,-1.0
12095072,Non-violent,-1.0
24021186,Non-violent,-1.0
249406,Non-violent,-1.0
7153927,Violent,1.0
7544443,Non-violent,-1.0
27383563,Violent,1.0
30975925,Non-violent,-1.0
36406869,Violent,1.0
3389311,Violent,1.0
5565338,Non-violent,-1.0
6244632,Violent,1.0
6183212,Non-violent,-1.0
10990102,Violent,1.0
11144406,Violent,1.0
1231856,Non-violent,-1.0
36036213,Violent,1.0
934809,Non-violent,-1.0
1612686,Violent,1.0
4600837,Violent,1.0
77639,Non-violent,-1.0
5080311,Violent,1.0
23939272,Non-violent,-1.0
5137345,Violent,1.0
13508675,Violent,1.0
8948959,Violent,1.0
27695067,Violent,1.0
6057698,Non-violent,-1.0
8610844,Violent,1.0
2028217,Violent,1.0
1141059,Violent,1.0
14613957,Violent,1.0
5682615,Violent,1.0
16791614,Violent,1.0
4453753,Violent,1.0
9943176,Non-violent,-1.0
3504034,Violent,1.0
1157158,Violent,1.0
24665535,Violent,1.0
23467297,Non-violent,-1.0
16647548,Violent,1.0
3028248,Non-violent,-1.0
